message,subject,complaint_text,intent,category
Installation & demo needs to be provided,,Installation & demo needs to be provided,Installation/demo,PRODUCT_ISSUE
thank you for customer support,,thank you for customer support,Return request,REFUND_REQUEST
??,,??,Return request,REFUND_REQUEST
Done,,Done,Return request,REFUND_REQUEST
Sloved my query,,Sloved my query,Product Specific Information,PRODUCT_ISSUE
Very worst experience I had from last two delevery,,Very worst experience I had from last two delevery,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Return request,REFUND_REQUEST
Sellers providing incorrect product information should be penalized,,Sellers providing incorrect product information should be penalized,Return request,REFUND_REQUEST
Paisa kha gae   aur roj call pe wahi purani baten krte rehte ho,,Paisa kha gae aur roj call pe wahi purani baten krte rehte ho,Not Needed,REFUND_REQUEST
Feel responsible for customer don\u2019t give neglected answers to the customer and sellers are making fraud by selling old and refurbished products as new ones please ensure that they are packing original items and ask them to take video while packing its very useful to customer In my case I have received old product as new one and one more product return issue not resolved from one month of date of purchase,,Feel responsible for customer don\u2019t give neglected answers to the customer and sellers are making fraud by selling old and refurbished products as new ones please ensure that they are packing original items and ask them to take video while packing its very useful to customer In my case I have received old product as new one and one more product return issue not resolved from one month of date of purchase,Not Needed,REFUND_REQUEST
There is no clear reason for my order cancellation this is very much unexpected,,There is no clear reason for my order cancellation this is very much unexpected,Seller Cancelled Order,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Fraudulent User,SECURITY_CONCERN
Good,,Good,Missing,PRODUCT_ISSUE
Very good??,,Very good??,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Satisfied..,,Satisfied..,Missing,PRODUCT_ISSUE
Thank you my issue solved,,Thank you my issue solved,Product Specific Information,PRODUCT_ISSUE
Vendors to be tightened so that they do not send wrong product.,,Vendors to be tightened so that they do not send wrong product.,Return request,REFUND_REQUEST
Good,,Good,Delayed,DELIVERY_SHIPPING_PROBLEM
Ba,,Ba,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Plz resolved my problem within short time,,Plz resolved my problem within short time,Wrong,PRODUCT_ISSUE
"I have asked the same executive regarding the company details or seller details regarding my order issue but still i haven\u2019t received anything from the executive side as per their promise that they will send the seller details in few minutes but after 15, 16 hours of wait i am not able to recieve anythinh ??",,"I have asked the same executive regarding the company details or seller details regarding my order issue but still i haven\u2019t received anything from the executive side as per their promise that they will send the seller details in few minutes but after 15, 16 hours of wait i am not able to recieve anythinh ??",Installation/demo,PRODUCT_ISSUE
My problem is not solved,,My problem is not solved,Not Needed,REFUND_REQUEST
she knows her work and understands my problem and handles it very well.,,she knows her work and understands my problem and handles it very well.,Fraudulent User,SECURITY_CONCERN
Please don't deliver broken item,,Please don't deliver broken item,Return request,REFUND_REQUEST
Pement nhi aaya,,Pement nhi aaya,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Fraudulent User,SECURITY_CONCERN
Thanku,,Thanku,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Just process my exchange!,,Just process my exchange!,Exchange / Replacement,PRODUCT_ISSUE
Good,,Good,Installation/demo,PRODUCT_ISSUE
Shopzilla customer service God work very helpful,,Shopzilla customer service God work very helpful,General Enquiry,OTHER
Good,,Good,Missing,PRODUCT_ISSUE
Good,,Good,Delayed,DELIVERY_SHIPPING_PROBLEM
Resolution time to be reduced.,,Resolution time to be reduced.,UnProfessional Behaviour,SERVICE_QUALITY
Nice help,,Nice help,Fraudulent User,SECURITY_CONCERN
Always facing issues with groceries delivery. Make sure that doesn't happen again,,Always facing issues with groceries delivery. Make sure that doesn't happen again,Fraudulent User,SECURITY_CONCERN
Good behaviour,,Good behaviour,Fraudulent User,SECURITY_CONCERN
Good support experience.??,,Good support experience.??,Delayed,DELIVERY_SHIPPING_PROBLEM
Excellent customer service executive,,Excellent customer service executive,Return request,REFUND_REQUEST
Should be Quick at resolving issues regarding return,,Should be Quick at resolving issues regarding return,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Iam happy,,Iam happy,Delayed,DELIVERY_SHIPPING_PROBLEM
Nice,,Nice,Return request,REFUND_REQUEST
No clarity voice,,No clarity voice,Service Centres Related,SERVICE_QUALITY
Good,,Good,Wrong,PRODUCT_ISSUE
Good service,,Good service,Refund Enquiry,REFUND_REQUEST
??,,??,Delayed,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Return cancellation,REFUND_REQUEST
Thanks Shopzilla,,Thanks Shopzilla,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Shw was good but put my call.on hold.for long,,Shw was good but put my call.on hold.for long,General Enquiry,OTHER
Nyc man,,Nyc man,Delayed,DELIVERY_SHIPPING_PROBLEM
Customer service number must be easily accessible,,Customer service number must be easily accessible,Return cancellation,REFUND_REQUEST
"Check courier service's efficiency by measuring their successfull deliveries. If they are not performing good, figure out new service parter otherwise customer is not going to wait for good service",,"Check courier service's efficiency by measuring their successfull deliveries. If they are not performing good, figure out new service parter otherwise customer is not going to wait for good service",Missing,PRODUCT_ISSUE
"I am waiting for tMy money since 2 nd August, my replacement was cancelled and return pick up picked by executive, and but no refund generated yet. I saying that it's still processing. Usually it take 2 days to credit. Why it's too late holding my money. Worst service ever",,"I am waiting for tMy money since 2 nd August, my replacement was cancelled and return pick up picked by executive, and but no refund generated yet. I saying that it's still processing. Usually it take 2 days to credit. Why it's too late holding my money. Worst service ever",Refund Related Issues,REFUND_REQUEST
"No responsibility of culprit person, please take a action against culprit person",,"No responsibility of culprit person, please take a action against culprit person",Fraudulent User,SECURITY_CONCERN
Very nic,,Very nic,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks,,Thanks,UnProfessional Behaviour,SERVICE_QUALITY
Please reach the customer within time. Really I wait for a call more than 30 minutea,,Please reach the customer within time. Really I wait for a call more than 30 minutea,Damaged,PRODUCT_ISSUE
Nice help ritu,,Nice help ritu,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
..,,..,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
I am offented for customer care executive,,I am offented for customer care executive,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Delivery delay but time resolution very long and my home issue me face outVery bad delivery,,Delivery delay but time resolution very long and my home issue me face outVery bad delivery,Delayed,DELIVERY_SHIPPING_PROBLEM
"To get connected with customer support is taking too long, put more customer support assistants so that it would be easily available without waiting 20 mins ... Too delay!",,"To get connected with customer support is taking too long, put more customer support assistants so that it would be easily available without waiting 20 mins ... Too delay!",Account updation,ACCOUNT_LOGIN_PROBLEM
Mr,,Mr,Refund Enquiry,REFUND_REQUEST
good,,good,Fraudulent User,SECURITY_CONCERN
Mera product refund jakdi se karwaiye   change karke product send kariye mujhe ye wala modal no BL58AT CHAHIYE PLZ PLZ HELIP ME,,Mera product refund jakdi se karwaiye change karke product send kariye mujhe ye wala modal no BL58AT CHAHIYE PLZ PLZ HELIP ME,Product Specific Information,PRODUCT_ISSUE
"Currently, portal doesn't have the option to report missing items post delivery. Also finding it difficult connecting to customer care, no direct numbers only a call request support available.",,"Currently, portal doesn't have the option to report missing items post delivery. Also finding it difficult connecting to customer care, no direct numbers only a call request support available.",Fraudulent User,SECURITY_CONCERN
Cycle is good but cycle mudguard change Shopzilla customer care replacement madguard only ok,,Cycle is good but cycle mudguard change Shopzilla customer care replacement madguard only ok,Missing,PRODUCT_ISSUE
My issue is not solved.please refund my money.,,My issue is not solved.please refund my money.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks,,Thanks,General Enquiry,OTHER
Nice,,Nice,Service Centres Related,SERVICE_QUALITY
Good,,Good,UnProfessional Behaviour,SERVICE_QUALITY
please resolve customer issue in minimum time,,please resolve customer issue in minimum time,Return request,REFUND_REQUEST
"Chutiya policies hai, policy should have to flexible.",,"Chutiya policies hai, policy should have to flexible.",Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Nice voice,,Nice voice,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Best service,,Best service,Invoice request,BILLING_PROBLEM
Item missing from package,,Item missing from package,Missing,PRODUCT_ISSUE
They solving my problem as like a Brother,,They solving my problem as like a Brother,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"First Confirm product what is ordered by customer. Your business partner will cheat the customer by send wrong goods,this make Shopzilla reputation down. And customer remarks the company making cheat.so please make a good business partner for long business.",,"First Confirm product what is ordered by customer. Your business partner will cheat the customer by send wrong goods,this make Shopzilla reputation down. And customer remarks the company making cheat.so please make a good business partner for long business.",Return request,REFUND_REQUEST
Happy,,Happy,Delayed,DELIVERY_SHIPPING_PROBLEM
Please provide customer care number in aap,,Please provide customer care number in aap,Installation/demo,PRODUCT_ISSUE
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Change my address but not Change address,,Change my address but not Change address,Customer Requested Modifications,DELIVERY_SHIPPING_PROBLEM
My query is not resolved yet.,,My query is not resolved yet.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
You executive is so good ??,,You executive is so good ??,Return request,REFUND_REQUEST
Ameging conversationThank you for sporting,,Ameging conversationThank you for sporting,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Exileny,,Exileny,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Ok,,Ok,Delayed,DELIVERY_SHIPPING_PROBLEM
No,,No,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Shopzilla service providers used by 3rd party services are very bad and irresponsible for any queries towards wrong deliveries . Hence it is important to train them and bring more ownership. Otherwise Shopzilla service levels will get deteriorate .,,Shopzilla service providers used by 3rd party services are very bad and irresponsible for any queries towards wrong deliveries . Hence it is important to train them and bring more ownership. Otherwise Shopzilla service levels will get deteriorate .,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
"He is very well mannered, and has work experience.",,"He is very well mannered, and has work experience.",Return request,REFUND_REQUEST
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Return my product,,Return my product,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"The exicutive who are takle the whole scenario is lack of information, don't know how to deal.Waste my time and afford",,"The exicutive who are takle the whole scenario is lack of information, don't know how to deal.Waste my time and afford",Product Specific Information,PRODUCT_ISSUE
Please resolve the issue as soon as possible,,Please resolve the issue as soon as possible,Invoice request,BILLING_PROBLEM
The tracking ID should be available in website or,,The tracking ID should be available in website or,Delayed,DELIVERY_SHIPPING_PROBLEM
Thank you ??,,Thank you ??,Wrong,PRODUCT_ISSUE
Na,,Na,Product Specific Information,PRODUCT_ISSUE
Company hi alag hai,,Company hi alag hai,Refund Related Issues,REFUND_REQUEST
OK,,OK,Refund Enquiry,REFUND_REQUEST
Taking so much time,,Taking so much time,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Worst app,,Worst app,General Enquiry,OTHER
"care professional was very polite, patient and professional: she understood the key points of the issue and put forth reasonable and reassuring solution for same ??",,"care professional was very polite, patient and professional: she understood the key points of the issue and put forth reasonable and reassuring solution for same ??",Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Ok,,Ok,Missing,PRODUCT_ISSUE
Good ??,,Good ??,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
kindly denay that sellers whos giving harassment to coustomer by delivering wrong product again and again,,kindly denay that sellers whos giving harassment to coustomer by delivering wrong product again and again,Return request,REFUND_REQUEST
Ok,,Ok,Fraudulent User,SECURITY_CONCERN
Do you not give me delivery boy information,,Do you not give me delivery boy information,Delayed,DELIVERY_SHIPPING_PROBLEM
The customer executive was so much polite and I am very happy to talk to her as she is able to provide me the resolution regarding my product issue.,,The customer executive was so much polite and I am very happy to talk to her as she is able to provide me the resolution regarding my product issue.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thank you.,,Thank you.,Delayed,DELIVERY_SHIPPING_PROBLEM
Delivery agents should be helpful and polite,,Delivery agents should be helpful and polite,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Your Service is very good,,Your Service is very good,Missing,PRODUCT_ISSUE
Bad,,Bad,General Enquiry,OTHER
Helpful,,Helpful,General Enquiry,OTHER
Wrong description of the product,,Wrong description of the product,Installation/demo,PRODUCT_ISSUE
I never frustrated in my life as your service make me frustrated,,I never frustrated in my life as your service make me frustrated,Delayed,DELIVERY_SHIPPING_PROBLEM
Had a quick and efficient resolution,,Had a quick and efficient resolution,Refund Related Issues,REFUND_REQUEST
"I did not receive my order on time, the service of Shopzilla Logistics is very poor, the delivery boys are even worse.",,"I did not receive my order on time, the service of Shopzilla Logistics is very poor, the delivery boys are even worse.",Not Needed,REFUND_REQUEST
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Keep atleast Graduate people.,,Keep atleast Graduate people.,Refund Related Issues,REFUND_REQUEST
Good experience,,Good experience,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
No,,No,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Problem in pending,,Problem in pending,Service Centres Related,SERVICE_QUALITY
Very nice,,Very nice,Online Payment Issues,PAYMENT_TRANSACTION_ISSUE
Worst Experience with Shopzilla.. avoid disappointed stills   resolutions on my issues,,Worst Experience with Shopzilla.. avoid disappointed stills resolutions on my issues,Installation/demo,PRODUCT_ISSUE
My issue is not reslove,,My issue is not reslove,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very good service,,Very good service,Missing,PRODUCT_ISSUE
Best service for me,,Best service for me,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Watch is not a working parfectly watch key is not working,,Watch is not a working parfectly watch key is not working,Installation/demo,PRODUCT_ISSUE
Good,,Good,Return request,REFUND_REQUEST
Not helping For Shopzilla to me I want to please please   and close this progress ?????????? and thanks itna preshan karne ke liya thankyou your Shopzilla service   and thanks customer ko itna harsh karne ke liya @Shopzilla,,Not helping For Shopzilla to me I want to please please and close this progress ?????????? and thanks itna preshan karne ke liya thankyou your Shopzilla service and thanks customer ko itna harsh karne ke liya @Shopzilla,Technician Visit,PRODUCT_ISSUE
Please make return or exchange option in my Shopzilla app,,Please make return or exchange option in my Shopzilla app,Return request,REFUND_REQUEST
Please check your saler,,Please check your saler,Missing,PRODUCT_ISSUE
very good exmpalne me custoumer care,,very good exmpalne me custoumer care,Seller onboarding,OTHER
Good Customer,,Good Customer,Product Specific Information,PRODUCT_ISSUE
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
From 7th of August I am waiting for my product delivery. Still giving only updated date only. Very very bad experience.,,From 7th of August I am waiting for my product delivery. Still giving only updated date only. Very very bad experience.,Wallet related,PAYMENT_TRANSACTION_ISSUE
"Give powers to the executive to contact seller or delivery partner when order gets delayed or not dispatched, don't keep employees for just having conversation with customer if they don't have any option to help customers.",,"Give powers to the executive to contact seller or delivery partner when order gets delayed or not dispatched, don't keep employees for just having conversation with customer if they don't have any option to help customers.",Delayed,DELIVERY_SHIPPING_PROBLEM
No,,No,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Useless customer service,,Useless customer service,UnProfessional Behaviour,SERVICE_QUALITY
Bakous service,,Bakous service,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Ok,,Ok,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Thank you for resolving my issue,,Thank you for resolving my issue,Return request,REFUND_REQUEST
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very poor,,Very poor,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Thanks to Shopzilla help line They are help me a lot,,Thanks to Shopzilla help line They are help me a lot,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
One of the best customer care executive I have interacted with.,,One of the best customer care executive I have interacted with.,Return request,REFUND_REQUEST
Good service,,Good service,Missing,PRODUCT_ISSUE
??,,??,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Great,,Great,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good call,,Good call,Delayed,DELIVERY_SHIPPING_PROBLEM
??,,??,Priority delivery,DELIVERY_SHIPPING_PROBLEM
Not bad,,Not bad,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Nice,,Nice,Invoice request,BILLING_PROBLEM
Good,,Good,Return request,REFUND_REQUEST
Excellent performance,,Excellent performance,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thank,,Thank,Seller Cancelled Order,DELIVERY_SHIPPING_PROBLEM
Thank a lot,,Thank a lot,Return request,REFUND_REQUEST
whatever problem i had it went away,,whatever problem i had it went away,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
I'm sick of your hooliganism,,I'm sick of your hooliganism,Fraudulent User,SECURITY_CONCERN
Excellent,,Excellent,Return request,REFUND_REQUEST
Thank you for help,,Thank you for help,Refund Enquiry,REFUND_REQUEST
This watch is not open but my problem is not solve plz hurry my smart watch solution. Request for you.,,This watch is not open but my problem is not solve plz hurry my smart watch solution. Request for you.,Installation/demo,PRODUCT_ISSUE
Refund my money,,Refund my money,Refund Related Issues,REFUND_REQUEST
Plz shorting the time to attend the call.,,Plz shorting the time to attend the call.,Refund Enquiry,REFUND_REQUEST
helped me very well,,helped me very well,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Sudhro jra,,Sudhro jra,Delayed,DELIVERY_SHIPPING_PROBLEM
Bahut badhiya,,Bahut badhiya,Refund Enquiry,REFUND_REQUEST
Thanks to Riya,,Thanks to Riya,Fraudulent User,SECURITY_CONCERN
Thanks,,Thanks,Return request,REFUND_REQUEST
Nice,,Nice,Fraudulent User,SECURITY_CONCERN
Response was good but issue remains unsolved.Pl. try to resolve the issue quickly.,,Response was good but issue remains unsolved.Pl. try to resolve the issue quickly.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
All correct ??,,All correct ??,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Very nice,,Very nice,Fraudulent User,SECURITY_CONCERN
Dear Sir   If you could not delever a product kindly mention as in available my mobile phone order is a gift for my sister which has an emotion you have automatically cancelled my order it's not good for an very big e commerce site don't play with our emotions sir,,Dear Sir If you could not delever a product kindly mention as in available my mobile phone order is a gift for my sister which has an emotion you have automatically cancelled my order it's not good for an very big e commerce site don't play with our emotions sir,Seller Cancelled Order,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Excellent,,Excellent,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
FakShopzilla,,FakShopzilla,Installation/demo,PRODUCT_ISSUE
Very good communication skills.,,Very good communication skills.,Delayed,DELIVERY_SHIPPING_PROBLEM
Very good ??,,Very good ??,Missing,PRODUCT_ISSUE
You guys close a complaint without providing any solution.why is that? Why do t you try calling the alternative number?why am I said to wait longer?,,You guys close a complaint without providing any solution.why is that? Why do t you try calling the alternative number?why am I said to wait longer?,UnProfessional Behaviour,SERVICE_QUALITY
No,,No,Invoice request,BILLING_PROBLEM
Kindly initiate my refund,,Kindly initiate my refund,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good service,,Good service,UnProfessional Behaviour,SERVICE_QUALITY
Thanks Shopzilla,,Thanks Shopzilla,UnProfessional Behaviour,SERVICE_QUALITY
Good,,Good,Payment related Queries,PAYMENT_TRANSACTION_ISSUE
Nq,,Nq,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Good behaviour,,Good behaviour,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
You,,You,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Amazing,,Amazing,Return request,REFUND_REQUEST
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good service,,Good service,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Issue has not been resolved after 10 days. Status was same since I recd the wrong packet.Refund my money ASAP. I don't need the products any more.,,Issue has not been resolved after 10 days. Status was same since I recd the wrong packet.Refund my money ASAP. I don't need the products any more.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"I found deficulties to reach customer care executive more then 3 times, kindly make sure atleast plus premium membership should be worth... Thank you for everything??????",,"I found deficulties to reach customer care executive more then 3 times, kindly make sure atleast plus premium membership should be worth... Thank you for everything??????",Refund Related Issues,REFUND_REQUEST
Good,,Good,Wrong,PRODUCT_ISSUE
The guy is so cool.. Liked his communication,,The guy is so cool.. Liked his communication,Return request,REFUND_REQUEST
Thank,,Thank,Wallet related,PAYMENT_TRANSACTION_ISSUE
Excellent,,Excellent,Return request,REFUND_REQUEST
"The lady executive was very polite and I was happy to interact with her, she really very supportive and thank you for your consultant",,"The lady executive was very polite and I was happy to interact with her, she really very supportive and thank you for your consultant",Return cancellation,REFUND_REQUEST
Thank you   ??,,Thank you ??,Wrong,PRODUCT_ISSUE
Please provide   customer care executive,,Please provide customer care executive,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,General Enquiry,OTHER
I had a conversation with Ashish. I felt like a valuable customer. Spot on communication and customer service by him. Kudos to his sincerity and prompt action taken. 10/10 as best customer service received ever.,,I had a conversation with Ashish. I felt like a valuable customer. Spot on communication and customer service by him. Kudos to his sincerity and prompt action taken. 10/10 as best customer service received ever.,Unable to track,DELIVERY_SHIPPING_PROBLEM
Just don't take too much time to connect with customer care,,Just don't take too much time to connect with customer care,Priority delivery,DELIVERY_SHIPPING_PROBLEM
The size was the issue...  Its big.. I want to change my item.,,The size was the issue... Its big.. I want to change my item.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
"Didn't call back, when got disconnected",,"Didn't call back, when got disconnected",Not Needed,REFUND_REQUEST
Excellent job,,Excellent job,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Product Specific Information,PRODUCT_ISSUE
Delivery man not come to take return material in my given address so please urgent inform him,,Delivery man not come to take return material in my given address so please urgent inform him,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
I am happy5star Points 10/10,,I am happy5star Points 10/10,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Bed service,,Bed service,Delayed,DELIVERY_SHIPPING_PROBLEM
I'm Vengeance,,I'm Vengeance,Wrong,PRODUCT_ISSUE
Pick up not update,,Pick up not update,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Resolved my issue.,,Resolved my issue.,Product Specific Information,PRODUCT_ISSUE
No good,,No good,Return request,REFUND_REQUEST
If any grocery item is sure then I can request refund on your app,,If any grocery item is sure then I can request refund on your app,Fraudulent User,SECURITY_CONCERN
Only speaking with the customer support and none of problems solved. This happens almost every time,,Only speaking with the customer support and none of problems solved. This happens almost every time,Not Needed,REFUND_REQUEST
Gud,,Gud,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
For your self like third grade,,For your self like third grade,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thank sir,,Thank sir,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Thankyou team Shopzilla also costumer executive u were polite and helpful to happy to haave such people's in Shopzilla which make  trust easy,,Thankyou team Shopzilla also costumer executive u were polite and helpful to happy to haave such people's in Shopzilla which make trust easy,Return request,REFUND_REQUEST
Call waiting time should be lesser to find a customer support executive.,,Call waiting time should be lesser to find a customer support executive.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Mast,,Mast,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Very nice mam,,Very nice mam,Installation/demo,PRODUCT_ISSUE
Please no more time taken to resolve issues,,Please no more time taken to resolve issues,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
I am always happy with Shopzilla,,I am always happy with Shopzilla,Return request,REFUND_REQUEST
Missing item,,Missing item,Missing,PRODUCT_ISSUE
Great,,Great,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
A polite person.,,A polite person.,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Be strict with brands,,Be strict with brands,Installation/demo,PRODUCT_ISSUE
Please make changes on your open box delivery so that coustomer can exchange or return their products,,Please make changes on your open box delivery so that coustomer can exchange or return their products,Return request,REFUND_REQUEST
Thank you so much,,Thank you so much,Missing,PRODUCT_ISSUE
"Shopzilla, do quick resolution on customer",,"Shopzilla, do quick resolution on customer",Product related Issues,PRODUCT_ISSUE
Very nice customer support,,Very nice customer support,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Best calling experience....,,Best calling experience....,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good behaviour,,Good behaviour,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Baat karne mein,,Baat karne mein,Delayed,DELIVERY_SHIPPING_PROBLEM
nice,,nice,Delayed,DELIVERY_SHIPPING_PROBLEM
Helpful man ty for,,Helpful man ty for,Installation/demo,PRODUCT_ISSUE
No,,No,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Happy,,Happy,Invoice request,BILLING_PROBLEM
Good idia to talk with customer,,Good idia to talk with customer,Order status enquiry,DELIVERY_SHIPPING_PROBLEM
Happy happy,,Happy happy,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
sometimes people make fake returns and try to fool Shopzilla. because of this real people face problem and have to prove that things gone wrong. please do a favour with geniun people,,sometimes people make fake returns and try to fool Shopzilla. because of this real people face problem and have to prove that things gone wrong. please do a favour with geniun people,Fraudulent User,SECURITY_CONCERN
Got quick solution,,Got quick solution,Missing,PRODUCT_ISSUE
Reduce time resolve timing,,Reduce time resolve timing,UnProfessional Behaviour,SERVICE_QUALITY
No thanks,,No thanks,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
No good castumar care,,No good castumar care,Damaged,PRODUCT_ISSUE
No,,No,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
More easy policy,,More easy policy,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
Good service,,Good service,Refund Enquiry,REFUND_REQUEST
Enrich your support system,,Enrich your support system,Service Centres Related,SERVICE_QUALITY
Talked to   she is best Shopzilla exicutive she solved my problem quickly thankyou soo much,,Talked to she is best Shopzilla exicutive she solved my problem quickly thankyou soo much,General Enquiry,OTHER
Very strong support,,Very strong support,Fraudulent User,SECURITY_CONCERN
Overall experience for customer support was awesome,,Overall experience for customer support was awesome,UnProfessional Behaviour,SERVICE_QUALITY
Best support.....,,Best support.....,Invoice request,BILLING_PROBLEM
All delivered to open box,,All delivered to open box,Wrong,PRODUCT_ISSUE
Good,,Good,Service Centres Related,SERVICE_QUALITY
Good behaviour and give best solutions,,Good behaviour and give best solutions,Online Payment Issues,PAYMENT_TRANSACTION_ISSUE
Good,,Good,Reverse Pickup Enquiry,DELIVERY_SHIPPING_PROBLEM
More options,,More options,Signup Issues,ACCOUNT_LOGIN_PROBLEM
I like it,,I like it,Not Needed,REFUND_REQUEST
Very gud customer service,,Very gud customer service,Refund Related Issues,REFUND_REQUEST
Not bad,,Not bad,Refund Related Issues,REFUND_REQUEST
